algorithm,compression_ratio,budget,input_points,output_points,actual_compression_ratio,runtime_seconds,memory_mb,throughput_traj_per_sec,hausdorff_distance,average_pte,frechet_distance,ped,dad,sed,sad,issd,original_points,simplified_points,trajectory_id,trajectory_size,user_id,file_id
dp,32.888888888888886,444,888,27,32.888888888888886,6.90027379989624,0.049224853515625,0.14492178556958668,976.5090817226413,147.10948971396928,1635.028672344024,147.11185787015975,69.19950456046183,469.4341110173179,1.7101480801439746,8291110.996456979,888,27,0,888,000,20081023025304
dp,5.074285714285714,177,888,175,5.074285714285714,5.954718828201294,0.04474925994873047,0.16793404169883602,111.7114687145887,1.888878061525556,111.7114687145887,1.8889196459179547,86.2499110643858,721.2243058843103,1.8108589460581241,35726092.12849082,888,175,0,888,000,20081023025304
dp,10.206896551724139,88,888,87,10.206896551724139,1.8740546703338623,0.027818679809570312,0.5336023627431585,309.9270792926337,2.7553080945223427,394.79496043974154,2.7553080945223427,65.79317001388735,674.2679030779697,1.842233225116777,34462179.30172293,888,87,0,888,000,20081023025304
dp,8.038461538461538,104,209,26,8.038461538461538,1.031332015991211,0.02274799346923828,0.9696198551917369,248.09690320866417,6.712490596214211,248.09690320866417,6.716048539825125,73.89216323843534,13.621903707690736,0.48236831982052486,61019.25513416171,209,26,1,209,000,20081024020959
dp,5.225,41,209,40,5.225,0.34350156784057617,0.016204833984375,2.9111948637862226,244.026163203135,4.223275515679585,244.026163203135,4.223275515679585,95.91858626757167,27.342074719667423,0.5211626615432444,96541.56380812329,209,40,1,209,000,20081024020959
dp,11.0,20,209,19,11.0,0.27613353729248047,0.014801025390625,3.621436243511416,84.67461783984295,1.5649275529286677,84.67461783984295,1.5649275529286677,102.97860772658635,30.295435391818792,0.4751242574409527,89321.19298869495,209,19,1,209,000,20081024020959
