algorithm,compression_ratio,budget,input_points,output_points,runtime_seconds,actual_compression_ratio,reduction_pct,memory_mb,throughput_traj_per_sec,hausdorff_distance,average_pte,frechet_distance,ped,dad,sed,sad,issd,original_points,simplified_points,turn_preservation,stop_preservation,original_turns,preserved_turns,preservation_ratio,original_stops,preserved_stops,trajectory_id,trajectory_size
dp,2.0,444,888,444,0.21843528747558594,2.0,50.0,0.11681079864501953,4.578014896570995,442.6277919290001,10.14275372922506,818.2195272392873,10.14275372922506,17.934202637023148,22.98831964818925,0.40276286965405955,238100.67356283433,888,444,0.6397058823529411,0.8,272,174,0.8,10,8,0,888
vw,2.0,444,888,444,0.08875060081481934,2.0,50.0,0.084503173828125,11.267529355508573,34.27185740441235,0.36516522524185924,34.31041433390386,0.36516522524185924,14.918607734998226,1.5748548841825356,0.26332680232360456,6793.669842293215,888,444,0.8125,0.6,272,221,0.6,10,6,0,888
rw,2.0,444,888,444,0.28183817863464355,2.0,50.0,0.09390544891357422,3.548135333702728,358.59206593604966,11.142656133203664,488.9782882379325,11.142656133203664,23.62454874548702,48.588260313888206,0.4918713115830915,2882443.140232284,888,444,0.5808823529411765,0.6,272,158,0.6,10,6,0,888
greedy_policy,2.0,444,888,444,0.1718127727508545,2.0,50.0,0.1511831283569336,5.8202890506289595,216.6122945451504,0.822627301109443,216.83282354522845,0.822627301109443,3.8524668215061477,1.6795587790446629,0.18475657572618212,7421.373030648429,888,444,1.0,1.0,272,272,1.0,10,10,0,888
dp,2.0096153846153846,104,209,104,0.027430295944213867,2.0096153846153846,50.23923444976077,0.031365394592285156,36.45604123388758,71.81411155551339,7.558772815389604,96.35830837735531,7.558772815389604,40.715393668549474,47.01823283923524,0.31146800776200284,111840.92232409735,209,104,0.6991150442477876,0.3333333333333333,113,79,0.3333333333333333,6,2,1,209
vw,2.0096153846153846,104,209,104,0.016312837600708008,2.0096153846153846,50.23923444976077,0.01672840118408203,61.301413308779466,6.492670454552929,0.13147423770839792,6.757115517476762,0.13147423770839792,27.357395707501798,0.5239731407778075,0.08426136044834338,502.2286561219082,209,104,0.8230088495575221,1.0,113,93,1.0,6,6,1,209
rw,2.0096153846153846,104,209,104,0.0463714599609375,2.0096153846153846,50.23923444976077,0.020809173583984375,21.564988483053636,71.81411155551339,7.558772815389604,96.35830837735531,7.558772815389604,40.715393668549474,47.01823283923524,0.31146800776200284,111840.92232409735,209,104,0.6991150442477876,0.3333333333333333,113,79,0.3333333333333333,6,2,1,209
greedy_policy,2.0096153846153846,104,209,104,0.05588197708129883,2.0096153846153846,50.23923444976077,0.04043865203857422,17.894857201368684,16.77487812295244,0.23421396221089713,26.693142511641692,0.23421396221089713,7.3989738787426145,0.6829057854852464,0.12319209439760635,2046.4646013216252,209,104,0.9823008849557522,1.0,113,111,1.0,6,6,1,209
