algorithm,compression_ratio,budget,input_points,output_points,actual_compression_ratio,runtime_seconds,memory_mb,throughput_traj_per_sec,hausdorff_distance,average_pte,frechet_distance,ped,dad,sed,sad,issd,original_points,simplified_points,turn_preservation,stop_preservation,original_turns,preserved_turns,preservation_ratio,original_stops,preserved_stops,trajectory_id,trajectory_size,user_id,file_id
proposed,5.016949152542373,177,888,177,5.016949152542373,1.415252447128296,0.17732620239257812,0.7065877201124865,536.572792636566,13.092771834887008,536.572792636566,13.092771834887008,28.01835493749087,33.33083876442846,0.584599755901124,553241.139847254,888,177,0.7830882352941176,0.9,272,213,0.9,10,9,0,888,000,20081023025304
proposed,10.090909090909092,88,888,88,10.090909090909092,1.1718089580535889,0.1522197723388672,0.8533814263214297,615.6920716855178,38.67362731434072,619.4376147579794,38.67362731434072,41.31728325343835,58.283308791680064,0.7842802152979857,983854.3129830784,888,88,0.7132352941176471,0.6,272,194,0.6,10,6,0,888,000,20081023025304
proposed,5.097560975609756,41,209,41,5.097560975609756,0.28400468826293945,0.04099082946777344,3.52106863487469,58.14289891010969,7.329851674508025,72.5992747406627,7.329851674508025,58.57686232373432,20.75069778717171,0.361417886804419,23026.23507048279,209,41,0.6637168141592921,0.5,113,75,0.5,6,3,1,209,000,20081024020959
proposed,10.45,20,209,20,10.45,0.28062915802001953,0.04033946990966797,3.563421588317854,58.14289891010969,9.579033050319287,62.47223230879505,9.579033050319287,72.88834085071174,22.61655899587926,0.399156205275366,24680.449073829455,209,20,0.504424778761062,0.6666666666666666,113,57,0.6666666666666666,6,4,1,209,000,20081024020959
